ID,Date,Product,Region,SalesRep,Units,UnitPrice,Revenue,Discount,NetRevenue,Category
38,2020-12-03,Module Z,West,Eva Martinez,2,492.79,985.58,0.066,920.53,Accessories
39,2022-05-16,Starter Kit,International,Henry Brown,491,367.94,180658.54,0.196,145249.47,Bundle
40,2020-11-13,Gadget Y,International,Alice Smith,152,116.66,17732.32,0.015,17466.34,Electronics
41,2021-10-04,Widget A,Central,Carol Lee,26,296.24,7702.24,0.126,6731.76,Hardware
42,2020-04-26,Pack Plus,North,David Kim,42,427.15,17940.3,0.017,17635.31,Accessories
43,2022-04-06,Widget B,Central,Alice Smith,483,446.23,215529.09,0.062,202166.29,Hardware
44,2023-06-22,Widget B,East,Eva Martinez,215,332.1,71401.5,0.141,61333.89,Hardware
45,2021-02-22,Ultra Kit,South,Eva Martinez,367,163.94,60165.98,0.066,56195.03,Bundle
46,2022-07-25,Device Lite,West,Bob Jones,476,378.4,180118.4,0.018,176876.27,Electronics
47,2020-05-30,Pack Plus,East,Bob Jones,110,257.87,28365.7,0.033,27429.63,Accessories
48,2021-05-15,Device Lite,International,Eva Martinez,146,87.29,12744.34,0.208,10093.52,Electronics
49,2023-06-06,Ultra Kit,East,Bob Jones,271,13.82,3745.22,0.204,2981.2,Bundle
50,2020-10-02,Device Pro,South,Eva Martinez,60,445.95,26757.0,0.186,21780.2,Electronics
51,2021-07-31,Pack Basic,International,Eva Martinez,108,361.62,39054.96,0.051,37063.16,Accessories
52,2022-11-01,Module W,North,Grace Patel,129,453.6,58514.4,0.212,46109.35,Accessories
53,2021-07-20,Widget A,East,Carol Lee,2,173.43,346.86,0.033,335.41,Hardware
54,2022-06-23,Pack Plus,North,Carol Lee,362,219.56,79480.72,0.002,79321.76,Accessories
55,2023-01-22,Widget A,West,Carol Lee,428,190.91,81709.48,0.138,70433.57,Hardware
56,2020-03-26,Device Pro,North,Frank Chen,187,450.49,84241.63,0.199,67477.55,Electronics
57,2021-03-06,Ultra Kit,Central,Grace Patel,128,336.79,43109.12,0.088,39315.52,Bundle
58,2023-06-25,Starter Kit,South,Carol Lee,80,463.61,37088.8,0.059,34900.56,Bundle
59,2022-04-24,Widget A,West,David Kim,92,370.91,34123.72,0.083,31291.45,Hardware
60,2021-06-30,Gadget X,North,Henry Brown,404,353.62,142862.48,0.096,129147.68,Electronics
61,2021-03-31,Gadget Y,South,David Kim,419,460.03,192752.57,0.087,175983.1,Electronics
62,2020-02-18,Ultra Kit,North,Eva Martinez,99,205.24,20318.76,0.07,18896.45,Bundle
63,2021-12-20,Ultra Kit,Central,Frank Chen,261,205.83,53721.63,0.245,40559.83,Bundle
64,2020-02-26,Widget B,East,Alice Smith,450,485.49,218470.5,0.045,208639.33,Hardware
65,2020-08-10,Pack Basic,West,Bob Jones,223,179.38,40001.74,0.197,32121.4,Accessories
66,2022-02-27,Pack Basic,North,David Kim,98,134.8,13210.4,0.177,10872.16,Accessories
67,2022-01-15,Module Z,Central,Frank Chen,36,474.94,17097.84,0.23,13165.34,Accessories
68,2023-09-20,Widget B,International,Grace Patel,369,451.01,166422.69,0.127,145287.01,Hardware
69,2021-10-30,Module Z,West,Grace Patel,357,154.86,55285.02,0.032,53515.9,Accessories
70,2023-10-19,Starter Kit,West,Alice Smith,463,95.26,44105.38,0.142,37842.42,Bundle
71,2021-09-14,Device Pro,International,Frank Chen,108,220.64,23829.12,0.145,20373.9,Electronics
72,2022-08-10,Module W,International,Carol Lee,227,341.05,77418.35,0.128,67508.8,Accessories
73,2023-09-11,Widget B,East,Bob Jones,146,262.56,38333.76,0.158,32277.03,Hardware
74,2021-04-26,Ultra Kit,North,Alice Smith,159,120.06,19089.54,0.05,18135.06,Bundle
75,2021-05-16,Module W,West,David Kim,313,426.36,133450.68,0.018,131048.57,Accessories
76,2023-11-27,Module Z,International,Alice Smith,254,205.82,52278.28,0.037,50343.98,Accessories
77,2020-08-06,Module Z,Central,Henry Brown,113,96.17,10867.21,0.239,8269.95,Accessories
78,2020-04-12,Pack Plus,South,Henry Brown,128,459.55,58822.4,0.03,57057.73,Accessories
79,2023-09-29,Pack Plus,West,Grace Patel,287,301.76,86605.12,0.238,65993.1,Accessories
80,2023-01-27,Module W,West,Eva Martinez,460,87.98,40470.8,0.215,31769.58,Accessories
81,2021-05-21,Ultra Kit,International,David Kim,142,385.24,54704.08,0.13,47592.55,Bundle
82,2021-07-16,Module W,East,Frank Chen,40,359.63,14385.2,0.059,13536.47,Accessories
83,2023-01-11,Widget B,South,David Kim,71,83.9,5956.9,0.096,5385.04,Hardware
84,2020-05-11,Module Z,North,David Kim,209,172.12,35973.08,0.116,31800.2,Accessories
85,2022-05-10,Module Z,North,Grace Patel,464,387.19,179656.16,0.237,137077.65,Accessories
86,2022-09-03,Widget A,West,David Kim,483,182.35,88075.05,0.188,71516.94,Hardware
87,2022-09-26,Gadget Y,East,Grace Patel,140,223.55,31297.0,0.007,31077.92,Electronics
88,2020-12-04,Module W,North,Grace Patel,471,72.53,34161.63,0.156,28832.42,Accessories
89,2023-04-27,Pack Basic,South,Henry Brown,340,23.27,7911.8,0.161,6638.0,Accessories
90,2021-01-07,Widget A,East,Frank Chen,134,195.75,26230.5,0.053,24840.28,Hardware
91,2022-02-15,Device Pro,North,Henry Brown,386,476.08,183766.88,0.105,164471.36,Electronics
92,2020-02-09,Starter Kit,South,Bob Jones,277,35.51,9836.27,0.238,7495.24,Bundle
93,2023-08-27,Widget A,North,Carol Lee,387,25.19,9748.53,0.062,9144.12,Hardware
94,2021-05-03,Gadget X,South,Henry Brown,243,338.02,82138.86,0.141,70557.28,Electronics
95,2023-12-03,Device Pro,International,Bob Jones,393,190.75,74964.75,0.151,63645.07,Electronics
96,2020-12-01,Device Pro,Central,Grace Patel,56,293.55,16438.8,0.232,12625.0,Electronics
97,2022-03-23,Starter Kit,International,David Kim,102,47.23,4817.46,0.173,3984.04,Bundle
98,2020-07-27,Starter Kit,North,Alice Smith,396,157.77,62476.92,0.171,51793.37,Bundle
99,2021-12-12,Pack Plus,International,Frank Chen,220,334.14,73510.8,0.017,72261.12,Accessories
100,2020-01-26,Module Z,East,Henry Brown,422,250.19,105580.18,0.108,94177.52,Accessories
101,2023-12-19,Gadget X,International,Eva Martinez,223,96.3,21474.9,0.13,18683.16,Electronics
102,2023-06-15,Pack Plus,International,Eva Martinez,397,246.9,98019.3,0.109,87335.2,Accessories
103,2021-10-22,Gadget Y,West,David Kim,426,467.95,199346.7,0.07,185392.43,Electronics
104,2022-08-09,Pack Basic,West,Frank Chen,313,337.4,105606.2,0.084,96735.28,Accessories
105,2021-01-07,Module W,East,Eva Martinez,109,183.85,20039.65,0.065,18737.07,Accessories
106,2023-02-12,Widget A,International,Grace Patel,265,474.54,125753.1,0.021,123112.28,Hardware
107,2022-09-27,Pack Plus,International,Henry Brown,389,127.75,49694.75,0.119,43781.07,Accessories
108,2022-07-06,Widget A,South,Eva Martinez,48,154.17,7400.16,0.101,6652.74,Hardware
109,2023-09-21,Pack Basic,West,Frank Chen,189,241.89,45717.21,0.133,39636.82,Accessories
110,2021-12-21,Starter Kit,North,David Kim,233,142.74,33258.42,0.063,31163.14,Bundle
111,2021-10-08,Widget B,South,David Kim,381,272.56,103845.36,0.191,84010.9,Hardware
112,2021-03-19,Starter Kit,Central,Eva Martinez,248,145.47,36076.56,0.147,30773.31,Bundle
113,2020-07-24,Gadget Y,North,Carol Lee,152,121.46,18461.92,0.045,17631.13,Electronics
114,2021-07-15,Widget A,South,Henry Brown,499,36.71,18318.29,0.073,16981.05,Hardware
115,2020-07-29,Widget A,East,Carol Lee,294,149.32,43900.08,0.12,38632.07,Hardware
116,2020-04-15,Device Pro,North,Grace Patel,482,432.23,208334.86,0.029,202293.15,Electronics
117,2022-10-04,Widget B,South,Eva Martinez,296,318.42,94252.32,0.013,93027.04,Hardware
118,2020-06-23,Gadget Y,Central,David Kim,61,283.45,17290.45,0.104,15492.24,Electronics
119,2022-12-06,Module Z,Central,Grace Patel,231,455.16,105141.96,0.074,97361.45,Accessories
120,2021-09-17,Pack Basic,North,David Kim,318,39.5,12561.0,0.24,9546.36,Accessories
121,2023-07-05,Gadget Y,South,Bob Jones,136,333.6,45369.6,0.039,43600.19,Electronics
122,2020-11-16,Widget A,East,Alice Smith,210,230.74,48455.4,0.148,41284.0,Hardware
123,2021-04-19,Device Pro,North,David Kim,362,148.52,53764.24,0.215,42204.93,Electronics
124,2021-06-25,Ultra Kit,West,Bob Jones,302,333.97,100858.94,0.233,77358.81,Bundle
125,2023-01-20,Gadget Y,South,Bob Jones,332,82.99,27552.68,0.066,25734.2,Electronics
126,2020-05-02,Gadget X,Central,Eva Martinez,406,160.72,65252.32,0.187,53050.14,Electronics
127,2022-06-18,Widget B,East,Henry Brown,240,347.44,83385.6,0.175,68793.12,Hardware
128,2022-06-15,Widget B,East,Eva Martinez,307,29.52,9062.64,0.108,8083.87,Hardware
129,2020-02-22,Widget B,Central,Alice Smith,118,481.33,56796.94,0.209,44926.38,Hardware
130,2023-10-08,Device Pro,West,Henry Brown,296,29.7,8791.2,0.189,7129.66,Electronics
131,2021-07-23,Gadget X,North,Henry Brown,300,223.57,67071.0,0.204,53388.52,Electronics
132,2021-12-13,Module Z,South,Frank Chen,171,167.31,28610.01,0.026,27866.15,Accessories
133,2022-04-23,Starter Kit,Central,Alice Smith,254,151.22,38409.88,0.236,29345.15,Bundle
134,2022-07-20,Widget B,West,Alice Smith,162,133.67,21654.54,0.029,21026.56,Hardware
135,2023-09-08,Pack Plus,East,Henry Brown,237,212.48,50357.76,0.047,47990.95,Accessories
136,2023-07-04,Module W,South,Eva Martinez,390,35.28,13759.2,0.067,12837.33,Accessories
137,2022-06-16,Starter Kit,Central,David Kim,249,69.49,17303.01,0.243,13098.38,Bundle
138,2023-12-24,Gadget X,North,David Kim,160,279.9,44784.0,0.138,38603.81,Electronics
139,2020-08-20,Module W,West,Eva Martinez,485,67.55,32761.75,0.208,25947.31,Accessories
140,2022-11-08,Starter Kit,West,David Kim,140,213.58,29901.2,0.121,26283.15,Bundle
141,2022-07-24,Pack Plus,Central,Carol Lee,75,197.95,14846.25,0.23,11431.61,Accessories
142,2020-05-22,Device Pro,Central,Eva Martinez,396,397.09,157247.64,0.104,140893.89,Electronics
143,2020-01-06,Device Pro,International,Henry Brown,372,156.28,58136.16,0.147,49590.14,Electronics
144,2020-10-31,Module W,Central,Grace Patel,276,247.32,68260.32,0.083,62594.71,Accessories
145,2022-07-21,Device Lite,Central,Grace Patel,446,102.43,45683.78,0.174,37734.8,Electronics
146,2021-04-23,Module Z,West,Grace Patel,23,165.9,3815.7,0.118,3365.45,Accessories
147,2023-09-21,Ultra Kit,Central,Frank Chen,78,252.7,19710.6,0.009,19533.2,Bundle
148,2020-07-24,Module W,International,Carol Lee,52,267.71,13920.92,0.114,12333.94,Accessories
149,2022-04-19,Ultra Kit,East,Frank Chen,497,85.63,42558.11,0.117,37578.81,Bundle
150,2023-06-30,Starter Kit,International,Grace Patel,204,328.41,66995.64,0.213,52725.57,Bundle
151,2021-10-10,Ultra Kit,Central,Alice Smith,368,444.83,163697.44,0.122,143726.35,Bundle
152,2023-06-18,Widget B,South,Bob Jones,121,319.26,38630.46,0.23,29745.45,Hardware
153,2022-06-07,Widget B,West,Carol Lee,390,320.53,125006.7,0.218,97755.24,Hardware
154,2023-11-22,Device Pro,North,Eva Martinez,463,24.17,11190.71,0.081,10284.26,Electronics
155,2022-01-04,Device Lite,Central,Carol Lee,221,81.32,17971.72,0.133,15581.48,Electronics
156,2020-12-14,Gadget X,International,David Kim,41,308.64,12654.24,0.096,11439.43,Electronics
157,2022-10-16,Pack Basic,West,Eva Martinez,74,123.76,9158.24,0.159,7702.08,Accessories
158,2023-09-27,Widget A,International,Carol Lee,461,404.26,186363.86,0.225,144431.99,Hardware
159,2020-05-31,Module W,International,Grace Patel,484,179.32,86790.88,0.147,74032.62,Accessories
160,2023-11-14,Device Pro,West,Henry Brown,234,424.19,99260.46,0.05,94297.44,Electronics
161,2020-08-06,Gadget Y,International,Eva Martinez,196,290.23,56885.08,0.144,48693.63,Electronics
162,2020-02-14,Ultra Kit,International,Alice Smith,203,144.49,29331.47,0.141,25195.73,Bundle
163,2023-05-26,Starter Kit,South,Frank Chen,255,418.08,106610.4,0.226,82516.45,Bundle
164,2021-03-24,Ultra Kit,International,Carol Lee,98,314.23,30794.54,0.169,25590.26,Bundle
165,2023-07-10,Widget B,West,Alice Smith,463,317.44,146974.72,0.01,145504.97,Hardware
166,2023-04-01,Device Lite,East,Grace Patel,375,74.38,27892.5,0.227,21560.9,Electronics
167,2020-12-25,Gadget Y,East,Eva Martinez,68,395.38,26885.84,0.219,20997.84,Electronics
168,2020-12-02,Device Pro,East,Frank Chen,468,414.09,193794.12,0.12,170538.83,Electronics
169,2020-08-23,Module W,South,Grace Patel,494,46.89,23163.66,0.189,18785.73,Accessories
170,2023-02-15,Device Lite,Central,Bob Jones,47,397.42,18678.74,0.003,18622.7,Electronics
171,2022-07-20,Device Lite,West,Frank Chen,345,377.01,130068.45,0.066,121483.93,Electronics
172,2020-08-09,Ultra Kit,Central,Frank Chen,120,241.01,28921.2,0.155,24438.41,Bundle
173,2023-06-03,Gadget Y,International,Eva Martinez,332,40.97,13602.04,0.206,10800.02,Electronics
174,2023-08-22,Module Z,East,Henry Brown,60,78.48,4708.8,0.237,3592.81,Accessories
175,2020-08-25,Widget B,West,Frank Chen,121,444.75,53814.75,0.034,51985.05,Hardware
176,2023-10-05,Starter Kit,International,Carol Lee,357,473.52,169046.64,0.105,151296.74,Bundle
177,2022-04-29,Ultra Kit,East,Alice Smith,51,418.5,21343.5,0.154,18056.6,Bundle
178,2023-11-14,Device Lite,East,Bob Jones,112,227.25,25452.0,0.238,19394.42,Electronics
179,2023-11-05,Device Lite,North,Grace Patel,279,451.82,126057.78,0.161,105762.48,Electronics
180,2021-07-19,Gadget Y,West,Bob Jones,496,69.85,34645.6,0.212,27300.73,Electronics
181,2023-09-19,Gadget Y,North,Frank Chen,329,323.34,106378.86,0.243,80528.8,Electronics
182,2021-05-13,Gadget X,Central,David Kim,403,286.63,115511.89,0.017,113548.19,Electronics
183,2023-04-15,Gadget Y,South,Alice Smith,417,436.14,181870.38,0.082,166957.01,Electronics
184,2021-07-21,Gadget X,North,Alice Smith,67,274.7,18404.9,0.2,14723.92,Electronics
185,2020-09-26,Widget A,East,Alice Smith,184,397.08,73062.72,0.059,68752.02,Hardware
186,2020-12-22,Device Pro,North,Bob Jones,27,72.1,1946.7,0.105,1742.3,Electronics
187,2022-09-02,Module W,West,David Kim,399,187.39,74768.61,0.148,63702.86,Accessories
188,2023-06-13,Widget A,Central,Eva Martinez,373,393.77,146876.21,0.217,115004.07,Hardware
189,2022-07-27,Ultra Kit,West,Grace Patel,494,25.25,12473.5,0.25,9355.12,Bundle
190,2023-11-06,Widget B,North,Frank Chen,252,359.07,90485.64,0.111,80441.73,Hardware
191,2023-05-30,Gadget X,Central,Frank Chen,34,71.82,2441.88,0.156,2060.95,Electronics
192,2022-02-19,Pack Basic,West,Bob Jones,272,154.49,42021.28,0.126,36726.6,Accessories
193,2023-12-08,Widget B,Central,David Kim,437,330.8,144559.6,0.219,112901.05,Hardware
194,2022-05-30,Module W,West,Grace Patel,455,121.95,55487.25,0.085,50770.83,Accessories
195,2022-05-01,Starter Kit,East,Frank Chen,49,163.14,7993.86,0.078,7370.34,Bundle
196,2020-11-08,Ultra Kit,North,Bob Jones,473,242.38,114645.74,0.023,112008.89,Bundle
197,2022-06-03,Widget B,Central,Alice Smith,382,372.0,142104.0,0.203,113256.89,Hardware
198,2023-04-16,Pack Plus,East,Grace Patel,288,171.52,49397.76,0.031,47866.43,Accessories
199,2020-04-15,Device Pro,Central,David Kim,308,163.09,50231.72,0.026,48925.7,Electronics
200,2020-11-12,Ultra Kit,Central,Frank Chen,247,119.87,29607.89,0.027,28808.48,Bundle
201,2020-08-23,Device Pro,Central,Alice Smith,294,120.81,35518.14,0.107,31717.7,Electronics
202,2023-06-01,Ultra Kit,East,Eva Martinez,425,349.79,148660.75,0.007,147620.12,Bundle
203,2021-11-26,Device Lite,International,Grace Patel,4,98.88,395.52,0.036,381.28,Electronics
204,2020-05-22,Gadget X,International,David Kim,380,320.24,121691.2,0.008,120717.67,Electronics
205,2022-02-09,Module Z,International,Frank Chen,233,177.03,41247.99,0.093,37411.93,Accessories
206,2023-03-08,Pack Basic,Central,Alice Smith,44,442.83,19484.52,0.039,18724.62,Accessories
207,2023-10-12,Widget B,Central,Henry Brown,140,227.12,31796.8,0.106,28426.34,Hardware
208,2022-04-28,Device Pro,West,Bob Jones,111,379.91,42170.01,0.028,40989.25,Electronics
209,2021-08-03,Ultra Kit,East,Alice Smith,348,300.63,104619.24,0.132,90809.5,Bundle
210,2021-03-27,Module Z,South,Carol Lee,307,36.83,11306.81,0.051,10730.16,Accessories
211,2021-06-07,Device Pro,West,Carol Lee,168,68.78,11555.04,0.124,10122.22,Electronics
212,2020-09-21,Module Z,International,Frank Chen,273,354.79,96857.67,0.125,84750.46,Accessories
213,2020-05-27,Module Z,West,Bob Jones,442,373.59,165126.78,0.109,147127.96,Accessories
214,2021-10-03,Pack Basic,West,Eva Martinez,220,290.96,64011.2,0.177,52681.22,Accessories
215,2020-08-23,Module Z,Central,Henry Brown,11,483.43,5317.73,0.043,5089.07,Accessories
216,2023-11-13,Device Lite,West,Grace Patel,46,223.98,10303.08,0.026,10035.2,Electronics
217,2022-12-09,Widget B,South,Frank Chen,203,436.55,88619.65,0.186,72136.4,Hardware
218,2020-12-10,Widget B,South,Frank Chen,262,320.27,83910.74,0.133,72750.61,Hardware
219,2021-12-20,Starter Kit,South,Bob Jones,491,411.27,201933.57,0.204,160739.12,Bundle
220,2020-10-26,Device Pro,International,Bob Jones,102,95.0,9690.0,0.038,9321.78,Electronics
221,2020-12-28,Ultra Kit,Central,Henry Brown,253,237.33,60044.49,0.141,51578.22,Bundle
222,2023-10-26,Pack Basic,International,Frank Chen,330,321.29,106025.7,0.156,89485.69,Accessories
223,2020-11-05,Module W,East,Alice Smith,35,239.76,8391.6,0.158,7065.73,Accessories
224,2021-12-21,Pack Plus,North,Frank Chen,38,162.09,6159.42,0.113,5463.41,Accessories
225,2021-08-10,Widget B,Central,Grace Patel,331,433.47,143478.57,0.214,112774.16,Hardware
226,2022-08-05,Pack Basic,North,Henry Brown,284,477.56,135627.04,0.185,110536.04,Accessories
227,2023-03-16,Ultra Kit,South,Alice Smith,97,167.54,16251.38,0.119,14317.47,Bundle
228,2022-07-11,Widget B,International,Bob Jones,416,450.56,187432.96,0.086,171313.73,Hardware
229,2022-10-30,Ultra Kit,West,Carol Lee,89,29.17,2596.13,0.177,2136.61,Bundle
230,2022-01-15,Device Lite,East,Alice Smith,470,148.61,69846.7,0.102,62722.34,Electronics
231,2023-07-16,Ultra Kit,International,Grace Patel,172,42.29,7273.88,0.024,7099.31,Bundle
232,2021-08-04,Device Pro,Central,Carol Lee,371,427.26,158513.46,0.241,120311.72,Electronics
233,2021-11-13,Widget B,East,Grace Patel,299,335.16,100212.84,0.229,77264.1,Hardware
234,2020-09-21,Pack Basic,West,Frank Chen,363,469.61,170468.43,0.077,157342.36,Accessories
235,2020-09-18,Ultra Kit,International,Bob Jones,360,416.18,149824.8,0.185,122107.21,Bundle
236,2023-08-16,Ultra Kit,East,Carol Lee,217,259.15,56235.55,0.005,55954.37,Bundle
237,2021-03-14,Device Lite,South,Carol Lee,486,385.41,187309.26,0.048,178318.42,Electronics
238,2020-06-07,Device Pro,Central,Alice Smith,433,396.17,171541.61,0.127,149755.83,Electronics
239,2023-09-17,Device Lite,West,Carol Lee,449,385.48,173080.52,0.033,167368.86,Electronics
240,2020-11-28,Gadget X,South,Henry Brown,426,349.48,148878.48,0.156,125653.44,Electronics
241,2020-03-30,Module Z,West,Eva Martinez,187,341.41,63843.67,0.059,60076.89,Accessories
242,2022-07-08,Gadget Y,West,David Kim,274,127.18,34847.32,0.241,26449.12,Electronics
243,2022-01-23,Ultra Kit,East,Grace Patel,485,289.5,140407.5,0.11,124962.68,Bundle
244,2022-10-26,Pack Plus,Central,Carol Lee,215,483.46,103943.9,0.204,82739.34,Accessories
245,2021-05-27,Widget A,North,Bob Jones,329,245.48,80762.92,0.093,73251.97,Hardware
246,2021-08-06,Widget B,Central,Carol Lee,391,88.54,34619.14,0.112,30741.8,Hardware
247,2022-06-14,Widget B,East,Alice Smith,485,456.14,221227.9,0.204,176097.41,Hardware
248,2022-04-29,Widget A,North,Frank Chen,203,255.97,51961.91,0.059,48896.16,Hardware
249,2021-04-04,Widget A,International,Frank Chen,164,466.09,76438.76,0.21,60386.62,Hardware
250,2020-10-26,Gadget X,International,Carol Lee,20,150.56,3011.2,0.207,2387.88,Electronics
251,2023-12-15,Module W,North,Eva Martinez,230,311.51,71647.3,0.226,55455.01,Accessories
252,2021-03-17,Gadget X,West,Bob Jones,281,470.7,132266.7,0.152,112162.16,Electronics
253,2021-08-13,Gadget Y,International,Henry Brown,155,69.7,10803.5,0.06,10155.29,Electronics
254,2020-05-08,Widget B,North,David Kim,429,453.51,194555.79,0.149,165566.98,Hardware
255,2020-10-21,Device Pro,Central,Grace Patel,220,10.76,2367.2,0.088,2158.89,Electronics
256,2021-01-18,Ultra Kit,North,Alice Smith,343,51.94,17815.42,0.244,13468.46,Bundle
257,2022-03-10,Module W,East,Alice Smith,23,321.47,7393.81,0.245,5582.33,Accessories
258,2022-01-01,Widget B,North,Frank Chen,177,128.14,22680.78,0.164,18961.13,Hardware
259,2020-09-30,Widget A,South,Henry Brown,181,277.54,50234.74,0.203,40037.09,Hardware
260,2023-11-25,Module W,International,Henry Brown,324,99.31,32176.44,0.034,31082.44,Accessories
261,2020-03-16,Device Pro,North,Frank Chen,104,31.46,3271.84,0.05,3108.25,Electronics
262,2021-09-27,Pack Plus,East,Alice Smith,204,494.66,100910.64,0.136,87186.79,Accessories
263,2023-08-17,Gadget Y,International,Frank Chen,147,184.91,27181.77,0.195,21881.32,Electronics
264,2021-07-13,Widget B,International,Henry Brown,410,190.32,78031.2,0.222,60708.27,Hardware
265,2022-03-02,Device Lite,East,Eva Martinez,499,101.53,50663.47,0.173,41898.69,Electronics
266,2020-06-18,Starter Kit,South,Eva Martinez,218,48.66,10607.88,0.151,9006.09,Bundle
267,2021-10-19,Widget B,West,Grace Patel,41,170.67,6997.47,0.074,6479.66,Hardware
268,2020-12-07,Starter Kit,East,Grace Patel,228,182.25,41553.0,0.011,41095.92,Bundle
269,2021-07-16,Ultra Kit,International,Grace Patel,406,474.46,192630.76,0.019,188970.78,Bundle
270,2022-01-14,Pack Plus,North,Carol Lee,411,377.44,155127.84,0.04,148922.73,Accessories
271,2023-05-29,Ultra Kit,South,Frank Chen,401,224.69,90100.69,0.032,87217.47,Bundle
272,2022-01-11,Module Z,International,Henry Brown,487,287.94,140226.78,0.151,119052.54,Accessories
273,2022-01-29,Device Lite,Central,Frank Chen,228,383.9,87529.2,0.143,75012.52,Electronics
274,2022-03-26,Device Lite,North,Carol Lee,333,146.55,48801.15,0.24,37088.87,Electronics
275,2022-10-19,Pack Plus,East,Henry Brown,199,457.63,91068.37,0.029,88427.39,Accessories
276,2021-03-15,Pack Basic,South,Bob Jones,147,350.04,51455.88,0.25,38591.91,Accessories
277,2020-10-04,Widget B,North,Frank Chen,232,94.59,21944.88,0.178,18038.69,Hardware
278,2023-09-29,Device Lite,East,Carol Lee,364,41.81,15218.84,0.136,13149.08,Electronics
279,2023-12-28,Starter Kit,East,David Kim,475,353.1,167722.5,0.044,160342.71,Bundle
280,2020-09-05,Gadget Y,North,Frank Chen,406,78.04,31684.24,0.198,25410.76,Electronics
281,2023-02-08,Pack Basic,South,Bob Jones,189,239.02,45174.78,0.246,34061.78,Accessories
282,2020-05-14,Device Pro,Central,Grace Patel,204,499.79,101957.16,0.18,83604.87,Electronics
283,2022-04-18,Pack Basic,North,Henry Brown,38,71.4,2713.2,0.079,2498.86,Accessories
